series,experiment,strategy,mode,nodes,ranks,cores_per_rank,nx,ny,nz,num_iter,local_nx,local_ny,n_reps,total_time_mean,total_time_std,avg_comm_mean,avg_comm_std,avg_compute_mean,avg_compute_std,avg_pack_mean,avg_pack_std,avg_send_mean,avg_send_std,avg_wait_mean,avg_wait_std,avg_actual_comm_mean,avg_actual_comm_std,git_commit,git_dirty,command
mpi_leftright,results_strong_1024_detailed_timing,mpi_leftright,strong,4,16,1,1024,1024,64,1024,-1,-1,3,4.384381666666667,0.02487594770500648,0.4039625666666667,0.02318085001379852,3.980235333333333,0.0030667186952107873,0.2151364,0.000704132501735298,0.008497480333333333,8.858869517921304e-05,0.1800826666666667,0.022498253793621907,0.188580147,0.022561522500191004,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 4 -n 16 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
mpi_leftright,results_strong_1024_detailed_timing,mpi_leftright,strong,8,32,1,1024,1024,64,1024,-1,-1,3,2.225515,0.005700774391840572,0.24206853333333334,0.005938467434354491,1.9833039999999997,0.0006215566479948671,0.12999036666666666,0.001006518098308331,0.007243309,4.74533248009734e-05,0.10448016666666667,0.005515702452896536,0.11172347566666667,0.005509028000666136,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 8 -n 32 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
mpi_leftright,results_strong_1024_detailed_timing,mpi_leftright,strong,16,64,1,1024,1024,64,1024,-1,-1,3,1.385883,0.018620637600970262,0.23854923333333333,0.023505691333282567,1.147195,0.008825379425271172,0.1139663,0.00015317521557571534,0.006626841333333334,4.832272787783759e-05,0.11756080000000001,0.023386193551894384,0.12418764133333333,0.023393955079352505,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 16 -n 64 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
mpi_leftright,results_mpi_leftright_strong_1024_n96,mpi_leftright,strong,24,96,1,1024,1024,64,1024,-1,-1,3,0.9632901,0.008755646137588408,0.2051476,0.006791416082575609,0.7580082333333333,0.002819114816549495,0.08294176,0.00036166621333304737,0.006451937333333334,2.9893412087318126e-05,0.11546413333333333,0.006930061653084737,0.12191607066666665,0.006959418207030873,6d1f1ad67bd158c18467cf72dcda5ea414627a95,0,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 24 -n 96 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
pipelined,results_strong_1024_detailed_timing,pipelined,strong,1,1,1,1024,1024,64,1024,-1,-1,3,91.30695333333334,1.4054498428696123,1.4948380000000003,0.0012308211351234532,89.81153333333333,1.4045604073002904,1.4070436666666666,0.001565765059714269,0.08581864,0.0004048485031053772,0.0021032703333333336,8.843151800247599e-05,0.08792191033333334,0.00032729241045720384,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 1 -c 1 --ntasks-per-node=1 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners-pipelined.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
pipelined,results_strong_1024_detailed_timing,pipelined,strong,1,2,1,1024,1024,64,1024,-1,-1,3,44.53747333333333,0.14796525140120545,1.264456,0.09565435034888208,43.27242666666666,0.20568502721934329,0.7740153666666667,0.008592791220681557,0.10170201000000001,0.01541764851989001,0.38830980000000004,0.11870014887449244,0.49001181,0.10383737545658694,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 2 -c 1 --ntasks-per-node=2 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners-pipelined.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
pipelined,results_strong_1024_detailed_timing,pipelined,strong,1,4,1,1024,1024,64,1024,-1,-1,3,25.11023,0.1697637010671008,1.0045322333333333,0.02812897474092429,24.10508,0.14165891453299523,0.5232569,0.012250661506220801,0.09852197,0.0012828137921252123,0.38224150000000007,0.014580418679173776,0.48076347,0.01586272535245022,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 1 -n 4 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners-pipelined.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
pipelined,results_strong_1024_detailed_timing,pipelined,strong,2,8,1,1024,1024,64,1024,-1,-1,3,9.928197666666668,0.04882524140464878,0.5026141666666667,0.045752105790031354,9.425000333333335,0.009986852501609,0.22852930000000002,0.002609759499775146,0.07154447,0.0006349074374006563,0.20173743333333335,0.04707530711065221,0.27328190333333335,0.047375653941804555,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 2 -n 8 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners-pipelined.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
pipelined,results_strong_1024_detailed_timing,pipelined,strong,4,16,1,1024,1024,64,1024,-1,-1,3,4.397924000000001,0.054262525601621814,0.4264103666666667,0.046934610351731805,3.9713246666666664,0.007682749739224646,0.21132499999999999,0.002087309905117111,0.030572803333333332,0.00021549228622440696,0.1841824333333333,0.046118405056067964,0.21475523666666665,0.045919286980440906,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 4 -n 16 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners-pipelined.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
pipelined,results_strong_1024_detailed_timing,pipelined,strong,8,32,1,1024,1024,64,1024,-1,-1,3,2.211277666666667,0.021998814276127734,0.23346550000000002,0.016717508460892126,1.9776583333333333,0.005367517758600168,0.12724763333333333,0.0011180175083105365,0.022413123333333337,3.400302078083951e-05,0.08331990333333333,0.016447788697293693,0.10573302666666666,0.016423839962396807,5f659f41dc0b2cbd347870eaa2405c47714603f4,1,env OMP_NUM_THREADS=1 srun -A hpc4wc-course2026-ethz --uenv=prgenv-gnu/26.3:v1 --view=default -N 8 -n 32 -c 1 --ntasks-per-node=4 --gpus-per-task=1 --cpu-bind=cores -t 15 ./stencil2d-mpi-corners-pipelined.x --nx 1024 --ny 1024 --nz 64 --num_iter 1024
